SMILES,Chemprop-Activation-Energy,Bulk_Tani_Similarity
CF,7.9578996,0.12500000
CN1CCNCCNCCC1F,7.9041142,0.24000000
CN1CCCNCCNCC1F,7.9019675,0.32000000
CNC1OCCOCCOCCOCCOCCOC1C,7.9012413,0.12068966
CNCC1CC2OCCOCCOCCOCCOCCOC12,7.900118,0.12698413
CN(CCF)C1CCCCC1,7.893903,0.24390244
CNCF,7.8932667,0.10000000
CNC1COCCOCCOCCOCCOC(C)CO1,7.89128,0.13114754
CNC1OCCOCCOCCOCCOCCOC1C(C)(C)C,7.8884406,0.11475410
CN1CCNCCNCC1Cl,7.887106,0.24000000
CN1CCCNC(F)CNCC1,7.8870697,0.28125000
CN1CCN(C)CCN(C2(C)CC3OCCOCCOCCOCCOCCOC32)CC1,7.886759,0.25806452
CN1CCNCCNC(F)CC1,7.8867207,0.26923077
CNC1OCCOCCOCCOCCOCC(C)OC1N,7.882585,0.10606061
CN1CCN(C)CCN(C2CCCCC2N(C)CF)CC1,7.8806195,0.27659574
CNC1CCCC(N(C)C2CCCC(N(C)C3CCCC(N(C)C4CCCC(N(C)C5CCCC(N(C)C6CCCC(N(C)C7CCCC(N(C)C8CCCC(N(C)C9CCCC(N(C)C%10CCCC(N(C)C%11CCCC(N(C)C%12CCCC(N(C)C%13CCCC(N(C)C%14CCCC(N(C)C%15CCCC(N(C)C%16CCCC(N(C)C%17CCCC(N(C)C%18CCCC(N(C)C%19CCCC(N(C)C%20CCCC(N(C)CCN(C)C%21CCCC(N(C)Cc%22ncc(C)cc%22C)C%21)C%20)C%19)C%18)C%17)C%16)C%15)C%14)C%13)C%12)C%11)C%10)C9)C8)C7)C6)C5)C4)C3)C2)C1,7.8805137,0.30000000
CNC1OCCOCCOCC(C)OCCOCCOC1C,7.8770704,0.12698413
CNC1OCCOCCOCCOCCOC(C)COC1C,7.876797,0.14754098
CNC1OC(C)COCCOCCOCCOCCOC1C,7.876643,0.11111111
