No_of_CV,MSE,MAE,RMSE
fold_2,83.732205,7.90806,9.081195
fold_3,24.721558,3.842782,4.970781
fold_4,22.446603,3.648814,4.542226
fold_5,25.468328,3.976288,4.974386
fold_6,24.581751,3.840735,4.811243
fold_7,27.781053,3.939113,4.990528
fold_8,24.320322,3.860727,4.76431
fold_9,23.713225,3.672194,4.643851
fold_10,24.297327,3.796771,4.673502
fold_11,25.497401,3.989945,4.626407
fold_12,24.546675,3.850752,4.677901
fold_13,31.9044,4.456631,5.315199
fold_14,28.073954,3.936146,4.891418
fold_15,31.475989,4.304404,5.167045
fold_16,24.935365,3.82794,4.605862
fold_17,27.174991,4.121449,4.823546
fold_18,26.193424,3.855709,4.680237
fold_19,25.982256,3.918575,4.437777
fold_20,25.836903,3.878247,4.649924
