Trial,Depth,Dropout,FFN Num Layers,Linked Hidden Size,Num Params,RMSE
0,5,0.1,1,1700,6259401,2.706
1,3,0.2,2,1400,6276201,4.002
2,5,0.15,1,1600,5571201,4.082
3,5,0.05,2,2200,15142601,2.61
4,5,0.05,2,700,1668101,3.902
5,4,0.2,1,1600,5571201,4.266
6,4,0.4,1,1700,6259401,2.85
7,5,0.25,2,800,2146401,4.072
8,5,0.4,1,1400,4314801,4.238
9,3,0.05,3,1500,9426001,5.49
10,2,0.3,3,2400,23721601,4.743
11,6,0,3,2400,23721601,5.22
12,3,0.3,2,2200,15142601,3.009
13,6,0.1,3,400,753601,2.774
14,2,0,2,2000,12566001,3.628
15,6,0.35,3,2000,16568001,4.383
16,4,0.15,2,1100,3941301,3.248
17,5,0.1,1,1900,7755801,4.091
18,6,0.05,2,2200,15142601,2.688
19,6,0.05,2,2200,15142601,2.688
